key,ko,context
"CH01-S00-001","비가 오면 쇠는 무거워진다.","S00 서술"
"CH01-S00-002","이연은 무거워진 쇠를 버려 본 적이 없었다.","S00 서술"
"CH01-S00-003","더 빨리! 협곡만 넘으면 성이오!","S00 피난민 남자"
"CH01-S00-004","아버지, 뒤에—","S00 아이"
"CH01-S00-005A","바퀴 하나가 깨지면 뒤의 마차까지 멈춘다.","S00 이연 독백"
"CH01-S00-005B","선두가 아니라 뒤에서 깃발을 든 놈이 길을 밀고 있다.","S00 이연 독백"
"CH01-S00-006","길을 비켜라! 회맹의 급행이다!","S00 기병 지휘관"
"CH01-S00-007","앞에 사람이 있군.","S00 이연"
"CH01-S00-008","그러니 비키라는 거다!","S00 기병 지휘관"
"CH01-S00-009A","서른여섯 자루가 화살을 막았다. 서른여섯 자루가 말의 길을 바꾸었다. 스물일곱 자루가 병기와 고삐를 끊었다.","S00 서술"
"CH01-S00-010A","남은 아홉 자루는 지휘관이 움직일 수 있는 모든 방향에서 멈췄다.","S00 서술"
"CH01-S00-011A","대체 무슨 문파냐.","S00 기병 지휘관"
"CH01-S00-012A","오늘은 길을 내는 쪽이다.","S00 이연"
"CH01-S00-009B","검들은 사람을 향하지 않았다. 협곡의 양쪽에 새로운 벽을 세우고, 피난민이 지나갈 한 줄의 길만 남겼다.","S00 서술"
"CH01-S00-010B","길이 열렸다! 멈추지 마시오!","S00 피난민 남자"
"CH01-S00-011B","저자를 기억해 둬라!","S00 기병 지휘관"
"CH01-S00-012B","기억은 공짜지.","S00 이연"
"CH01-S00-013","백여덟.","S00 이연 독백"
"CH01-S01-001","멈춰. 저 짐은 뭐지?","S01 문지기"
"CH01-S01-002","내 짐.","S01 이연"
"CH01-S01-003","안에 든 걸 묻는 거다.","S01 문지기"
"CH01-S01-004","검.","S01 이연"
"CH01-S01-005","몇 자루나?","S01 문지기"
"CH01-S01-006","세는 데 돈을 받을 생각이면 먼저 값을 정해.","S01 이연"
"CH01-S01-007","검관을 끄는 자다.","S01 상인"
"CH01-S01-008","안에 정말 검이 백 개나 있어요?","S01 아이"
"CH01-S01-009","가까이 가지 마.","S01 보호자"
"CH01-S01-010","가까이 오지 않는 게 좋다.","S01 이연"
"CH01-S01-011","교대까지 두 시진.","S01 이연 독백"
"CH01-S02-001","검관을 끄는 자… 이연인가.","S02 조문탁"
"CH01-S02-002","돈이 있으면.","S02 이연"
"CH01-S02-003","아직도… 값을 먼저 묻는군.","S02 조문탁"
"CH01-S02-004","죽어 가는 사람은 값을 깎으려 드니까.","S02 이연"
"CH01-S02-005","해가 뜰 때까지… 북문을 열지 마시오.","S02 조문탁"
"CH01-S02-006","이유.","S02 이연"
"CH01-S02-007","한 가지만… 묻게.","S02 조문탁"
"CH01-S02-008A","문을 여는 자와 닫는 자가… 같은 표식을 쓴다.","S02 조문탁"
"CH01-S02-009A","한 손이 양쪽 줄을 잡고 있군.","S02 이연"
"CH01-S02-008B","군대보다 먼저… 봉인 마차 열두 대가 온다.","S02 조문탁"
"CH01-S02-009B","짐이 아니라 문을 열 이유겠군.","S02 이연"
"CH01-S02-008C","그들은… 자네가 북문에 서길 원해.","S02 조문탁"
"CH01-S02-009C","계약이 아니라 초대였나.","S02 이연"
"CH01-S02-010","받겠나.","S02 조문탁"
"CH01-S02-011","이미 받았어.","S02 이연"
"CH01-S02-012","아직… 대답도—","S02 조문탁"
"CH01-S02-013","패를 넘겼고 내가 집었다. 계약은 끝까지 간다.","S02 이연"
"CH01-S02-014","죽은 사람은 조건을 바꾸지 않는다.","S02 이연 독백"
"CH01-S03-001","손님, 저 큰 짐은 창고로 옮겨 드릴까요?","S03 곽노삼"
"CH01-S03-002","건드리지 마시오.","S03 이연"
"CH01-S03-003","귀한 물건입니까?","S03 곽노삼"
"CH01-S03-004","죽은 사람 물건이오.","S03 이연"
"CH01-S03-005","그럼 더더욱 건드리지 않겠습니다.","S03 곽노삼"
"CH01-S04-001","술은 뭘로 드릴까요?","S04 복칠"
"CH01-S04-002","따뜻한 물.","S04 이연"
"CH01-S04-003","물…만요?","S04 복칠"
"CH01-S04-004","술은 계산이 흐려져.","S04 이연"
"CH01-S04-005","계산할 내공도 없다던데.","S04 칼잡이"
"CH01-S04-006","검도 밖에 두고 들어왔지.","S04 다른 칼잡이"
"CH01-S04-007","없는 건 내공이지. 검은 많아.","S04 이연"
"CH01-S04-008A","활을 든 자는 방 안을 보지 않는다. 출구만 보고 있다.","S04 이연 독백"
"CH01-S04-008B","기름이 바닥으로 흐를 각도다. 불은 우연처럼 시작되겠지.","S04 이연 독백"
"CH01-S04-008C","쪽지를 떨어뜨린 손에 약재 냄새가 없다.","S04 이연 독백"
"CH01-S04-009","북문을 묻지 마라. 이미 들켰다.","S04 쪽지"
"CH01-S04-010","묻지 말라는 사람은 대개 대답을 알고 있다.","S04 이연 독백"
"CH01-S05-001","검도 없이—","S05 칼잡이"
"CH01-S05-002","누가 없댔지.","S05 이연"
"CH01-S06-001","이연에게는 아홉 자루면 충분했다.","S06 서술"
"CH01-S06-002","다만 아홉 자루로 모든 결과를 같은 순간에 고를 수는 없었다.","S06 서술"
"CH01-S07A-001","잡았습니까.","S07A 곽노삼"
"CH01-S07A-002","잡았소.","S07A 이연"
"CH01-S07A-003","그럼 제 어깨값은요.","S07A 곽노삼"
"CH01-S07A-004","내가 내지.","S07A 이연"
"CH01-S07A-005","북문에서 언제 시작하지.","S07A 이연"
"CH01-S07A-006","교대 종이 네 번째 울리기 전에… 다 끝난다.","S07A 도주자"
"CH01-S07A-007","세 번 울렸군.","S07A 이연"
"CH01-S07B-001","놓쳤습니다.","S07B 곽노삼"
"CH01-S07B-002","살았소.","S07B 이연"
"CH01-S07B-003","그건… 그렇군요.","S07B 곽노삼"
"CH01-S07B-004","사람을 먼저 고르는군.","S07B 홍련"
"CH01-S07B-005","값을 안 낸 사람도 가끔은 살려 둬.","S07B 이연"
"CH01-S07B-006","북문 밖에 봉인 마차 열두 대가 있어. 군대보다 먼저 들여보낼 거야.","S07B 홍련"
"CH01-S07B-007","이 정보 값은.","S07B 이연"
"CH01-S07B-008","다음에 받지.","S07B 홍련"
"CH01-S07C-001","다… 잡힌 겁니까?","S07C 복칠"
"CH01-S07C-002","움직이면 잡히는 거지.","S07C 이연"
"CH01-S07C-003","제 객잔도 잡힌 것 같습니다만.","S07C 곽노삼"
"CH01-S07C-004","수리비를 적어 두시오.","S07C 이연"
"CH01-S07C-005","백야성 전체가 곧 네 이름을 알겠군.","S07C 홍련"
"CH01-S07C-006","모르는 척하던 사람들까지 포함해서.","S07C 이연"
"CH01-S08-001","검은 멈췄다. 결과는 멈추지 않았다.","S08 서술"
"CH01-S08-002A","잡은 사람은 말한다. 다친 사람은 값을 남긴다.","S08 이연 독백"
"CH01-S08-002B","놓친 사람은 다시 온다. 산 사람도 그렇다.","S08 이연 독백"
"CH01-S08-002C","감춘 힘은 빚이 되고, 드러낸 힘은 소문이 된다.","S08 이연 독백"
"CH01-S08-003","같은 손이군.","S08 이연"
"CH01-S08-004","아홉.","S08 이연 독백"
"CH01-S09-001A","함정인 걸 알면서 가는 겁니까?","S09 곽노삼"
"CH01-S09-001B","너를 북문으로 끌어들이려는 것까지 알았잖아.","S09 홍련"
"CH01-S09-001C","이제 성 안 사람들이 전부 손님을 알아볼 텐데요.","S09 복칠"
"CH01-S09-002","돈을 받았어.","S09 이연"
"CH01-S09-003A","그리고 초대받았으니 얼굴은 봐야지.","S09 이연"
"CH01-S09-003B","알아보기 쉬워졌으면 길을 묻는 수고는 덜겠군.","S09 이연"
"CH01-S09-003C","누가 재촉하는지는 확인해야지.","S09 이연"
"CH01-UI-CHAPTER-TITLE","객잔의 구검","챕터 제목"
"CH01-UI-S00-TITLE","관천협의 108검","장면 제목"
"CH01-UI-S01-TITLE","검관이 백야성에 들어오다","장면 제목"
"CH01-UI-S01-LOCATION","백야성 서측문","장소명"
"CH01-UI-S02-TITLE","골목의 계약","장면 제목"
"CH01-UI-S03-TITLE","청우객잔","장면 제목"
"CH01-UI-S04-TITLE","물 한 잔","장면 제목"
"CH01-UI-S05-TITLE","객잔의 구검","장면 제목"
"CH01-UI-S06-TITLE","무엇을 먼저 끝낼 것인가","장면 제목"
"CH01-UI-S07A-TITLE","추적","장면 제목"
"CH01-UI-S07B-TITLE","수호","장면 제목"
"CH01-UI-S07C-TITLE","봉쇄","장면 제목"
"CH01-UI-S08-TITLE","남은 흔적","장면 제목"
